"","x"
"1",6.621
"2",6.433
"3",6.582
"4",7.224
"5",6.875
"6",6.947
"7",7.328
"8",6.777
"9",7.503
"10",6.916
"11",7.045
"12",6.956
"13",6.976
"14",7.185
"15",6.899
"16",7.396
"17",7.287
"18",7.22
"19",7.651
"20",7.72
"21",7.543
"22",7.961
"23",7.327
"24",7.38
"25",7.501
"26",7.605
"27",7.584
"28",7.401
"29",7.505
"30",7.427
"31",6.993
"32",7.402
"33",7.391
"34",7.088
"35",6.949
"36",7.506
"37",7.396
"38",7.421
"39",7.159
"40",7.379
"41",7.369
"42",6.652
"43",6.769
"44",6.828
"45",7.344
"46",7.447
"47",7.186
"48",6.642
"49",6.788
"50",6.783
"51",7.037
"52",7.112
"53",7.039
"54",6.576
"55",7.002
"56",6.77
"57",7.002
"58",6.806
"59",7.221
"60",7.379
"61",7.027
"62",7.744
"63",6.464
"64",7.376
"65",7.899
"66",7.318
"67",7.174
"68",7.086
"69",7.774
"70",7.104
"71",7.129
"72",7.407
"73",7.701
"74",7.572
"75",7.813
"76",7.422
"77",7.792
"78",7.433
"79",7.796
"80",7.7
"81",7.365
"82",7.814
"83",7.326
"84",7.473
"85",7.181
"86",7.286
"87",7.293
"88",7.514
"89",7.204
"90",7.276
"91",7.509
"92",6.923
"93",7.056
"94",7.24
"95",7.138
"96",7.432
"97",7.354
"98",7.4
"99",7.596
"100",7.358
"101",6.852
"102",6.726
"103",7.131
"104",6.603
"105",7.322
"106",6.779
"107",7.325
"108",6.961
"109",7.188
"110",7.1
"111",7.239
"112",7.194
"113",6.964
"114",6.797
"115",7.561
"116",7.392
"117",7.47
"118",7.657
"119",7.649
"120",7.295
"121",7.364
"122",7.018
"123",7.74
"124",7.392
"125",7.804
"126",7.868
"127",7.578
"128",8.113
"129",7.916
"130",7.336
"131",8.033
"132",7.581
"133",8.187
"134",7.629
"135",7.386
"136",7.889
"137",7.478
"138",7.485
"139",7.387
"140",7.276
"141",7.613
"142",7.704
"143",7.788
"144",7.64
"145",7.552
"146",7.992
"147",6.845
"148",7.43
"149",8.074
"150",7.684
"151",7.411
"152",7.567
"153",7.124
"154",7.124
"155",7.157
"156",6.321
"157",6.953
"158",7.487
"159",6.993
"160",7.372
"161",7.286
"162",7.214
"163",7.521
"164",7.481
"165",7.398
"166",7.187
"167",7.72
"168",7.042
"169",7.892
"170",6.824
"171",7.552
"172",7.938
"173",8.028
"174",7.461
"175",7.77
"176",7.65
"177",7.909
"178",7.93
"179",7.562
"180",8.006
"181",7.523
"182",7.581
"183",7.638
"184",8.187
"185",7.836
"186",7.75
"187",8.061
"188",6.955
"189",7.601
"190",7.763
"191",7.733
"192",7.515
"193",7.562
"194",8.143
"195",8.204
"196",7.432
"197",7.377
"198",7.929
"199",7.431
"200",7.593
"201",8.229
"202",7.933
"203",8.278
"204",7.718
"205",7.134
"206",7.534
"207",7.26
"208",6.976
"209",7.267
"210",7.132
"211",7.398
"212",7.67
"213",7.194
"214",7.548
"215",7.834
"216",7.797
"217",8.195
"218",7.588
"219",7.543
"220",8.156
"221",7.731
"222",7.539
"223",8.052
"224",8.183
"225",7.797
"226",8.46
"227",8.055
"228",7.971
"229",8.489
"230",8.238
"231",7.996
"232",7.866
"233",8.483
"234",8.213
"235",8.402
"236",7.628
"237",8.411
"238",8.206
"239",7.825
"240",8.078
"241",8.249
"242",7.821
"243",7.257
"244",8.106
"245",7.879
"246",7.712
"247",8.103
"248",7.449
"249",8.477
